H1N1	H3N2	B
13	0	0
9	0	0
1	0	0
33	0	0
13	0	0
3	0	0
48	0	0
0	0	0
78	0	0
31	0	0
126	0	0
9	0	0
22	0	0
132	0	0
38	0	0
8	0	0
48	0	0
27	0	0
262	0	0
4	0	0
209	0	0
78	0	0
186	0	0
138	0	0
225	0	0
23	0	0
109	0	0
77	0	0
50	0	0
216	0	0
42	0	0
236	0	0
434	0	0
624	0	0
460	0	0
620	0	0
445	0	0
1802	0	0
83	0	0
3371	0	0
591	0	0
1334	0	0
456	0	0
5053	0	0
3234	0	0
338	0	0
425	0	0
11811	0	0
458	0	0
9798	0	0
454	0	0
863	0	0
525	0	0
2055	0	0
8879	0	0
579	0	0
11113	0	0
1881	0	0
686	0	0
7087	0	0
315	0	0
5692	0	0
934	0	0
13891	0	0
4818	0	0
5092	0	0
676	0	0
14494	0	0
526	0	0
743	0	0
9122	0	0
2298	0	0
209	0	0
1942	0	0
90	0	0
678	0	0
116	0	0
26	0	0
136	0	0
242	0	0
68	0	0
537	0	0
5	0	0
68	0	0
237	0	0
4	0	0
22	0	0
99	0	0
20	0	0
84	0	0
2	0	0
44	0	0
10	0	0
3	0	0
26	0	0
0	0	0
24	0	0
0	0	0
2	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
2	0	0
0	0	0
2	0	0
1	0	0
2	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
2	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
