H1N1	H3N2	B
39	0	0
58	0	0
60	0	0
103	0	0
115	0	0
193	0	0
203	0	0
233	0	0
218	0	0
350	0	0
470	0	0
500	0	0
569	0	0
723	0	0
737	0	0
915	0	0
1162	0	0
1039	0	0
954	0	0
1020	0	0
1053	0	0
841	0	0
1102	0	0
905	0	0
989	0	0
1070	0	0
1354	0	0
1230	0	0
1200	0	0
1582	0	0
1490	0	0
1839	0	0
2201	0	0
2158	0	0
2546	0	0
3503	0	0
3718	0	0
3546	0	0
5510	0	0
5730	0	0
7359	0	0
8907	0	0
8413	0	0
8076	0	0
11875	0	0
13435	0	0
17629	0	0
21375	0	0
26122	0	0
29173	0	0
46904	0	0
46861	0	0
44558	0	0
58119	0	0
54733	0	0
78409	0	0
72034	0	0
68667	0	0
67802	0	0
73725	0	0
73903	0	0
58887	0	0
64817	0	0
36883	0	0
36394	0	0
35654	0	0
18815	0	0
12344	0	0
10775	0	0
10517	0	0
1642	0	0
2006	0	0
1792	0	0
1247	0	0
1007	0	0
964	0	0
591	0	0
515	0	0
500	0	0
68	0	0
68	0	0
56	0	0
54	0	0
53	0	0
22	0	0
21	0	0
6	0	0
6	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
