H1N1	H3N2	B
1	0	0
4	0	0
3	0	0
11	0	0
1	0	0
5	0	0
24	0	0
7	0	0
0	0	0
2	0	0
24	0	0
0	0	0
17	0	0
24	0	0
1	0	0
19	0	0
13	0	0
3	0	0
54	0	0
35	0	0
12	0	0
180	0	0
80	0	0
26	0	0
79	0	0
11	0	0
36	0	0
167	0	0
55	0	0
20	0	0
415	0	0
11	0	0
86	0	0
676	0	0
731	0	0
45	0	0
341	0	0
60	0	0
1068	0	0
503	0	0
167	0	0
732	0	0
77	0	0
1064	0	0
1215	0	0
70	0	0
1438	0	0
5139	0	0
858	0	0
6662	0	0
302	0	0
6666	0	0
9263	0	0
860	0	0
720	0	0
4242	0	0
457	0	0
2070	0	0
279	0	0
253	0	0
1532	0	0
176	0	0
2205	0	0
1211	0	0
3616	0	0
139	0	0
4198	0	0
184	0	0
1491	0	0
212	0	0
4100	0	0
210	0	0
220	0	0
1613	0	0
464	0	0
3761	0	0
868	0	0
283	0	0
827	0	0
334	0	0
104	0	0
2017	0	0
46	0	0
695	0	0
2264	0	0
70	0	0
3452	0	0
3124	0	0
158	0	0
187	0	0
3392	0	0
75	0	0
1559	0	0
1202	0	0
1443	0	0
6264	0	0
119	0	0
957	0	0
6387	0	0
188	0	0
196	0	0
207	0	0
88	0	0
108	0	0
145	0	0
51	0	0
154	0	0
179	0	0
162	0	0
168	0	0
24	0	0
12	0	0
307	0	0
3	0	0
292	0	0
38	0	0
58	0	0
287	0	0
283	0	0
89	0	0
58	0	0
14	0	0
8	0	0
385	0	0
8	0	0
5	0	0
365	0	0
81	0	0
21	0	0
10	0	0
15	0	0
32	0	0
22	0	0
1	0	0
79	0	0
15	0	0
12	0	0
58	0	0
4	0	0
6	0	0
2	0	0
5	0	0
2	0	0
1	0	0
10	0	0
2	0	0
1	0	0
5	0	0
4	0	0
4	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
