H1N1	H3N2	B
10	0	0
10	0	0
28	0	0
28	0	0
40	0	0
40	0	0
39	0	0
62	0	0
93	0	0
99	0	0
91	0	0
96	0	0
114	0	0
131	0	0
124	0	0
131	0	0
101	0	0
207	0	0
295	0	0
298	0	0
462	0	0
455	0	0
493	0	0
474	0	0
478	0	0
375	0	0
283	0	0
357	0	0
170	0	0
239	0	0
305	0	0
310	0	0
667	0	0
669	0	0
1103	0	0
1042	0	0
2363	0	0
2305	0	0
3756	0	0
4619	0	0
4405	0	0
4540	0	0
5966	0	0
6398	0	0
7763	0	0
9854	0	0
11088	0	0
17531	0	0
18018	0	0
21043	0	0
25810	0	0
25748	0	0
31888	0	0
32595	0	0
30342	0	0
29946	0	0
29850	0	0
32879	0	0
27866	0	0
43471	0	0
35353	0	0
36727	0	0
41385	0	0
41716	0	0
45217	0	0
41735	0	0
40491	0	0
29071	0	0
28580	0	0
28017	0	0
22982	0	0
18581	0	0
14672	0	0
12076	0	0
14004	0	0
9896	0	0
10723	0	0
7156	0	0
7139	0	0
4498	0	0
5008	0	0
4904	0	0
3035	0	0
2583	0	0
1614	0	0
1826	0	0
1715	0	0
1507	0	0
869	0	0
918	0	0
484	0	0
482	0	0
402	0	0
204	0	0
171	0	0
234	0	0
234	0	0
245	0	0
250	0	0
252	0	0
283	0	0
218	0	0
218	0	0
149	0	0
149	0	0
72	0	0
69	0	0
55	0	0
25	0	0
13	0	0
15	0	0
14	0	0
11	0	0
12	0	0
9	0	0
10	0	0
7	0	0
8	0	0
7	0	0
10	0	0
11	0	0
9	0	0
9	0	0
7	0	0
7	0	0
6	0	0
5	0	0
4	0	0
3	0	0
3	0	0
3	0	0
2	0	0
2	0	0
2	0	0
2	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
