H1N1	H3N2	B
28	0	0
33	0	0
58	0	0
85	0	0
104	0	0
142	0	0
180	0	0
207	0	0
196	0	0
216	0	0
201	0	0
182	0	0
191	0	0
154	0	0
188	0	0
182	0	0
207	0	0
184	0	0
334	0	0
331	0	0
645	0	0
653	0	0
822	0	0
832	0	0
1153	0	0
1563	0	0
1549	0	0
2241	0	0
1975	0	0
3855	0	0
3654	0	0
8369	0	0
8722	0	0
13545	0	0
13631	0	0
17143	0	0
18672	0	0
19628	0	0
33019	0	0
31126	0	0
32247	0	0
57155	0	0
59509	0	0
64745	0	0
92991	0	0
91013	0	0
83822	0	0
96245	0	0
94882	0	0
66350	0	0
64051	0	0
57243	0	0
27474	0	0
26789	0	0
20846	0	0
5751	0	0
5596	0	0
3995	0	0
3717	0	0
1241	0	0
1165	0	0
1018	0	0
712	0	0
544	0	0
235	0	0
236	0	0
229	0	0
68	0	0
62	0	0
27	0	0
26	0	0
13	0	0
14	0	0
3	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
