H1N1	H3N2	B
27	0	0
48	0	0
56	0	0
121	0	0
174	0	0
180	0	0
188	0	0
346	0	0
356	0	0
585	0	0
595	0	0
550	0	0
978	0	0
1344	0	0
2127	0	0
2637	0	0
5173	0	0
6108	0	0
6675	0	0
6854	0	0
7443	0	0
9553	0	0
12524	0	0
16011	0	0
15710	0	0
31321	0	0
36959	0	0
42598	0	0
42558	0	0
51020	0	0
57048	0	0
56823	0	0
55398	0	0
40119	0	0
50162	0	0
46474	0	0
64980	0	0
60019	0	0
60125	0	0
56687	0	0
56200	0	0
54893	0	0
39158	0	0
37185	0	0
17906	0	0
12442	0	0
2550	0	0
2654	0	0
2578	0	0
2396	0	0
1992	0	0
1860	0	0
1644	0	0
1126	0	0
1147	0	0
569	0	0
365	0	0
342	0	0
223	0	0
179	0	0
138	0	0
137	0	0
167	0	0
149	0	0
129	0	0
125	0	0
131	0	0
130	0	0
130	0	0
130	0	0
66	0	0
66	0	0
16	0	0
15	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
