S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
311963.0	27.0	10.0	88000.0	3.2055083455409776e-06	296000.0	0.0	0.0	103987.0		240000.0	0.0	0.0	159988.0	
311961.0	29.0	10.0	88000.0	0.0	296000.0	0.0	0.0	103985.0		240000.0	0.0	0.0	159987.0	
311926.0	37.0	37.0	88000.0	2.339432204207824e-06	296000.0	0.0	0.0	103978.0		240000.0	0.0	0.0	159968.0	
311892.0	69.0	39.0	88000.0	1.6442246444939685e-07	296000.0	0.0	0.0	103963.0		240000.0	0.0	0.0	159959.0	
311862.0	64.0	74.0	88000.0	1.5166098241304582e-06	296000.0	0.0	0.0	103954.0		240000.0	0.0	0.0	159944.0	
311773.0	119.0	108.0	88000.0	1.009756504940501e-06	296000.0	0.0	0.0	103929.0		240000.0	0.0	0.0	159906.0	
311626.0	236.0	128.0	88010.0	7.52103483021314e-07	295993.0	0.0	0.0	103898.0		239994.0	0.0	0.0	159859.0	
311585.0	188.0	217.0	88010.0	1.3162965125019698e-06	295993.0	0.0	0.0	103887.0		239994.0	0.0	0.0	159841.0	
311338.0	288.0	337.0	88037.0	1.4010553816605435e-06	295976.0	0.0	0.0	103846.0		239975.0	0.0	0.0	159772.0	
311306.0	279.0	376.0	88039.0	3.502744990186163e-07	295976.0	0.0	0.0	103838.0		239974.0	0.0	0.0	159760.0	
310503.0	835.0	588.0	88074.0	1.352863022936604e-06	295948.0	0.0	0.0	103661.0		239958.0	0.0	0.0	159466.0	
310224.0	1082.0	586.0	88108.0	1.760260603061762e-07	295929.0	0.0	0.0	103617.0		239933.0	0.0	0.0	159406.0	
308518.0	1985.0	1359.0	88138.0	1.915206386193922e-06	295908.0	0.0	0.0	103184.0		239918.0	0.0	0.0	158733.0	
308267.0	1957.0	1549.0	88227.0	5.842863621554766e-07	295844.0	0.0	0.0	103219.0		239867.0	0.0	0.0	158717.0	
308050.0	468.0	3108.0	88374.0	1.7818732313132574e-06	295738.0	0.0	0.0	103316.0		239777.0	0.0	0.0	158783.0	
305470.0	2797.0	3318.0	88415.0	2.4764455007454695e-07	295708.0	0.0	0.0	102689.0		239754.0	0.0	0.0	157783.0	
