S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
311985.0	5.0	10.0	88000.0	3.205282305239034e-06	296000.0	0.0	0.0	103995.0		240000.0	0.0	0.0	159995.0	
311964.0	26.0	10.0	88000.0	0.0	296000.0	0.0	0.0	103989.0		240000.0	0.0	0.0	159988.0	
311932.0	53.0	15.0	88000.0	1.0686089703311405e-06	296000.0	0.0	0.0	103978.0		240000.0	0.0	0.0	159973.0	
311915.0	49.0	36.0	88000.0	1.8701676204521531e-06	296000.0	0.0	0.0	103972.0		240000.0	0.0	0.0	159964.0	
311841.0	91.0	68.0	88000.0	1.509064668514139e-06	296000.0	0.0	0.0	103953.0		240000.0	0.0	0.0	159934.0	
311839.0	76.0	85.0	88000.0	6.41356597474979e-07	296000.0	0.0	0.0	103953.0		240000.0	0.0	0.0	159933.0	
311741.0	100.0	149.0	88010.0	1.5931311418838505e-06	295993.0	0.0	0.0	103941.0		239994.0	0.0	0.0	159910.0	
311733.0	106.0	151.0	88010.0	4.248838946336378e-08	295993.0	0.0	0.0	103937.0		239994.0	0.0	0.0	159908.0	
311534.0	207.0	244.0	88015.0	1.28923117304145e-06	295990.0	0.0	0.0	103878.0		239990.0	0.0	0.0	159832.0	
311385.0	348.0	231.0	88036.0	1.1121934143274285e-07	295975.0	0.0	0.0	103857.0		239976.0	0.0	0.0	159791.0	
311191.0	343.0	398.0	88068.0	1.6067302717623583e-06	295954.0	0.0	0.0	103837.0		239959.0	0.0	0.0	159740.0	
310813.0	572.0	530.0	88085.0	9.045055241309022e-07	295943.0	0.0	0.0	103765.0		239951.0	0.0	0.0	159599.0	
310062.0	1129.0	650.0	88159.0	9.625866389997434e-07	295888.0	0.0	0.0	103625.0		239907.0	0.0	0.0	159399.0	
309748.0	1065.0	1026.0	88161.0	1.18942189338294e-06	295886.0	0.0	0.0	103536.0		239906.0	0.0	0.0	159263.0	
307520.0	2542.0	1679.0	88259.0	1.4545071982418553e-06	295810.0	0.0	0.0	103055.0		239841.0	0.0	0.0	158474.0	
306181.0	3567.0	1985.0	88267.0	5.166434167531187e-07	295806.0	0.0	0.0	102701.0		239835.0	0.0	0.0	157934.0	
304213.0	3307.0	4014.0	88466.0	1.8245679818151041e-06	295671.0	0.0	0.0	102366.0		239717.0	0.0	0.0	157336.0	
300208.0	5973.0	5204.0	88615.0	8.570793427446031e-07	295564.0	0.0	0.0	101490.0		239630.0	0.0	0.0	155819.0	
298696.0	5517.0	6978.0	88809.0	9.44201578654375e-07	295422.0	0.0	0.0	101297.0		239519.0	0.0	0.0	155409.0	
287040.0	13168.0	10605.0	89187.0	1.315677434919794e-06	295133.0	0.0	0.0	98622.0		239299.0	0.0	0.0	151204.0	
280969.0	17727.0	11366.0	89938.0	4.734626599636888e-07	294596.0	0.0	0.0	97823.0		238822.0	0.0	0.0	149497.0	
268459.0	18581.0	22708.0	90252.0	1.9120211197522298e-06	294373.0	0.0	0.0	94911.0		238646.0	0.0	0.0	144772.0	
252903.0	28066.0	26551.0	92480.0	9.041185275543888e-07	292724.0	0.0	0.0	93169.0		237305.0	0.0	0.0	140720.0	
218779.0	49680.0	37722.0	93819.0	1.5158525757628334e-06	291747.0	0.0	0.0	85530.0		236514.0	0.0	0.0	128391.0	
185295.0	67608.0	51310.0	95787.0	1.6361842934837945e-06	290313.0	0.0	0.0	78816.0		235343.0	0.0	0.0	117146.0	
156286.0	62493.0	81429.0	99792.0	2.6813947574590175e-06	287333.0	0.0	0.0	75366.0		233004.0	0.0	0.0	109421.0	
118596.0	66699.0	113401.0	101304.0	2.489719423994658e-06	286208.0	0.0	0.0	67084.0		232096.0	0.0	0.0	95841.0	
107287.0	48999.0	130754.0	112960.0	2.0679054265944267e-06	277605.0	0.0	0.0	75744.0		225023.0	0.0	0.0	102951.0	
48903.0	69693.0	162373.0	119031.0	4.746536452696792e-06	273084.0	0.0	0.0	66629.0		221410.0	0.0	0.0	85695.0	
47480.0	59807.0	161172.0	131541.0	1.4778280268055867e-06	263800.0	0.0	0.0	78771.0		213939.0	0.0	0.0	97622.0	
39053.0	9850.0	204000.0	147097.0	7.328401875179181e-06	252214.0	0.0	0.0	92227.0		204663.0	0.0	0.0	109707.0	
21319.0	26161.0	171299.0	181221.0	3.8965768214182584e-07	227068.0	0.0	0.0	121685.0		184207.0	0.0	0.0	136755.0	
20620.0	18433.0	146242.0	214705.0	2.7945521282363233e-06	202266.0	0.0	0.0	154992.0		163936.0	0.0	0.0	169946.0	
17450.0	3869.0	134967.0	243714.0	7.529804112362561e-06	180712.0	0.0	0.0	183219.0		146657.0	0.0	0.0	197668.0	
9633.0	10987.0	97976.0	281404.0	7.406208098503559e-07	152816.0	0.0	0.0	218837.0		124059.0	0.0	0.0	232234.0	
9393.0	8057.0	89837.0	292713.0	3.756641043660961e-06	144503.0	0.0	0.0	230073.0		117296.0	0.0	0.0	243443.0	
8747.0	886.0	39270.0	351097.0	2.275726591290247e-05	101305.0	0.0	0.0	288276.0		82239.0	0.0	0.0	301566.0	
8705.0	688.0	38087.0	352520.0	7.238785375849877e-07	100250.0	0.0	0.0	289693.0		81399.0	0.0	0.0	302966.0	
6961.0	1786.0	30306.0	360947.0	3.0621909266941545e-06	93923.0	0.0	0.0	297685.0		76443.0	0.0	0.0	310689.0	
6926.0	1779.0	12614.0	378681.0	4.807441149709165e-07	80855.0	0.0	0.0	315410.0		65785.0	0.0	0.0	328409.0	
6811.0	150.0	13659.0	379380.0	1.874634888251606e-05	80333.0	0.0	0.0	316072.0		65379.0	0.0	0.0	329051.0	
6785.0	141.0	10524.0	382550.0	4.901594194495817e-07	77945.0	0.0	0.0	319237.0		63496.0	0.0	0.0	332210.0	
6681.0	130.0	2822.0	390367.0	6.099571958559826e-06	72200.0	0.0	0.0	327021.0		58803.0	0.0	0.0	339993.0	
6679.0	106.0	2608.0	390607.0	1.492637393827554e-06	72033.0	0.0	0.0	327260.0		58663.0	0.0	0.0	340233.0	
6640.0	41.0	2066.0	391253.0	7.581147435822671e-06	71568.0	0.0	0.0	327891.0		58278.0	0.0	0.0	340864.0	
6639.0	40.0	2026.0	391295.0	1.4869209688122788e-07	71532.0	0.0	0.0	327933.0		58259.0	0.0	0.0	340905.0	
6626.0	14.0	321.0	393039.0	1.833614957784542e-05	70223.0	0.0	0.0	329675.0		57219.0	0.0	0.0	342645.0	
6626.0	13.0	287.0	393074.0	5.258558040282658e-07	70197.0	0.0	0.0	329710.0		57198.0	0.0	0.0	342680.0	
6620.0	6.0	185.0	393189.0	1.0614844451702458e-05	70119.0	0.0	0.0	329822.0		57140.0	0.0	0.0	342791.0	
6620.0	6.0	159.0	393215.0	0.0	70098.0	0.0	0.0	329848.0		57125.0	0.0	0.0	342817.0	
