H1N1	H3N2	B
12	0	0
5	0	0
10	0	0
10	0	0
3	0	0
63	0	0
34	0	0
52	0	0
25	0	0
209	0	0
135	0	0
211	0	0
3	0	0
116	0	0
491	0	0
520	0	0
230	0	0
768	0	0
1556	0	0
2453	0	0
315	0	0
302	0	0
4742	0	0
3013	0	0
4322	0	0
9850	0	0
12177	0	0
6912	0	0
29012	0	0
7931	0	0
6701	0	0
11483	0	0
2623	0	0
5996	0	0
1649	0	0
4186	0	0
1374	0	0
77	0	0
484	0	0
5	0	0
24	0	0
257	0	0
248	0	0
16	0	0
0	0	0
39	0	0
61	0	0
9	0	0
20	0	0
1	0	0
