S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
311955.0	35.0	10.0	88000.0	3.205590549919059e-06	296000.0	0.0	0.0	103984.0		240000.0	0.0	0.0	159981.0	
311953.0	37.0	10.0	88000.0	0.0	296000.0	0.0	0.0	103983.0		240000.0	0.0	0.0	159981.0	
311952.0	3.0	45.0	88000.0	2.493261071503878e-06	296000.0	0.0	0.0	103983.0		240000.0	0.0	0.0	159981.0	
311909.0	44.0	47.0	88000.0	1.364282258266408e-07	296000.0	0.0	0.0	103971.0		240000.0	0.0	0.0	159966.0	
311907.0	45.0	48.0	88000.0	6.679341384878612e-08	296000.0	0.0	0.0	103970.0		240000.0	0.0	0.0	159965.0	
311839.0	70.0	91.0	88000.0	1.5152930599683571e-06	296000.0	0.0	0.0	103954.0		240000.0	0.0	0.0	159936.0	
311790.0	117.0	83.0	88010.0	7.72840230352759e-08	295993.0	0.0	0.0	103949.0		239994.0	0.0	0.0	159927.0	
311639.0	200.0	151.0	88010.0	1.445040979555879e-06	295993.0	0.0	0.0	103904.0		239994.0	0.0	0.0	159857.0	
311497.0	293.0	165.0	88045.0	9.533629440081188e-07	295971.0	0.0	0.0	103899.0		239974.0	0.0	0.0	159843.0	
311376.0	263.0	314.0	88047.0	1.544408431430884e-06	295970.0	0.0	0.0	103864.0		239972.0	0.0	0.0	159798.0	
311040.0	457.0	455.0	88048.0	1.0033690589246144e-06	295969.0	0.0	0.0	103771.0		239971.0	0.0	0.0	159651.0	
310772.0	604.0	533.0	88091.0	7.304933699093578e-07	295938.0	0.0	0.0	103746.0		239943.0	0.0	0.0	159579.0	
309742.0	1298.0	867.0	88093.0	1.2511808298363015e-06	295937.0	0.0	0.0	103480.0		239942.0	0.0	0.0	159196.0	
309277.0	1495.0	1067.0	88161.0	8.121247583993238e-07	295885.0	0.0	0.0	103426.0		239903.0	0.0	0.0	159071.0	
308223.0	1519.0	2048.0	88210.0	1.631707197386308e-06	295851.0	0.0	0.0	103210.0		239873.0	0.0	0.0	158703.0	
308053.0	1224.0	2362.0	88361.0	6.390688024853636e-07	295745.0	0.0	0.0	103318.0		239792.0	0.0	0.0	158783.0	
306807.0	1416.0	3274.0	88503.0	1.0492927489118371e-06	295643.0	0.0	0.0	103127.0		239699.0	0.0	0.0	158435.0	
305418.0	2635.0	3323.0	88624.0	1.6750352511661265e-07	295559.0	0.0	0.0	102895.0		239625.0	0.0	0.0	158023.0	
302096.0	4711.0	4233.0	88960.0	9.743720080132354e-07	295317.0	0.0	0.0	102370.0		239437.0	0.0	0.0	157047.0	
300944.0	4474.0	5354.0	89228.0	8.620613809350958e-07	295117.0	0.0	0.0	102347.0		239284.0	0.0	0.0	156874.0	
290398.0	11698.0	7646.0	90258.0	1.4961382060739403e-06	294355.0	0.0	0.0	100679.0		238639.0	0.0	0.0	153739.0	
288551.0	12393.0	8333.0	90723.0	4.791025843653041e-07	294012.0	0.0	0.0	100662.0		238367.0	0.0	0.0	153465.0	
271027.0	19371.0	17825.0	91777.0	2.1829594605581363e-06	293223.0	0.0	0.0	97136.0		237730.0	0.0	0.0	147564.0	
265866.0	22685.0	19502.0	91947.0	3.5622544835674774e-07	293096.0	0.0	0.0	96017.0		237631.0	0.0	0.0	145709.0	
260624.0	10403.0	35780.0	93193.0	1.8792237924676696e-06	292183.0	0.0	0.0	95910.0		236875.0	0.0	0.0	144875.0	
221981.0	43885.0	39552.0	94582.0	5.878271033109353e-07	291147.0	0.0	0.0	87367.0		236019.0	0.0	0.0	130763.0	
219250.0	41374.0	41472.0	97904.0	5.765041457268748e-07	288686.0	0.0	0.0	90000.0		234009.0	0.0	0.0	132989.0	
182158.0	39823.0	78963.0	99056.0	2.686574855574264e-06	287825.0	0.0	0.0	81476.0		233298.0	0.0	0.0	119340.0	
167265.0	51985.0	71148.0	109602.0	2.2948480194758265e-07	279977.0	0.0	0.0	88132.0		226917.0	0.0	0.0	123906.0	
119568.0	62590.0	106393.0	111449.0	2.9157630709677713e-06	278612.0	0.0	0.0	77554.0		225809.0	0.0	0.0	106564.0	
98570.0	68695.0	103762.0	128973.0	1.4561264770906212e-06	265668.0	0.0	0.0	89627.0		215240.0	0.0	0.0	115652.0	
94108.0	25460.0	146298.0	134134.0	3.464384853784551e-06	261796.0	0.0	0.0	93613.0		212104.0	0.0	0.0	119020.0	
58101.0	40469.0	162054.0	139376.0	2.2301525375883685e-06	257907.0	0.0	0.0	89649.0		208942.0	0.0	0.0	109746.0	
57038.0	37070.0	127873.0	178019.0	6.117675301911053e-07	229196.0	0.0	0.0	128008.0		185800.0	0.0	0.0	147934.0	
40385.0	17716.0	161149.0	180750.0	5.532726938399015e-06	227154.0	0.0	0.0	126391.0		184165.0	0.0	0.0	143915.0	
24406.0	32632.0	125120.0	217842.0	3.4810472792632227e-07	199738.0	0.0	0.0	159256.0		161874.0	0.0	0.0	174628.0	
17153.0	23232.0	126880.0	232735.0	7.651722730717658e-06	188735.0	0.0	0.0	172235.0		152961.0	0.0	0.0	186590.0	
10830.0	13576.0	95162.0	280432.0	1.550449335334722e-05	153463.0	0.0	0.0	218201.0		124453.0	0.0	0.0	231756.0	
9436.0	7717.0	81417.0	301430.0	9.440927216358087e-06	137916.0	0.0	0.0	238814.0		111891.0	0.0	0.0	252180.0	
9338.0	1492.0	83278.0	305892.0	8.130907596878639e-06	134629.0	0.0	0.0	243243.0		109222.0	0.0	0.0	256609.0	
9305.0	131.0	48665.0	341899.0	3.0784327354442056e-06	107828.0	0.0	0.0	279240.0		87731.0	0.0	0.0	292603.0	
9285.0	53.0	47700.0	342962.0	2.2127165724568717e-07	107049.0	0.0	0.0	280298.0		87123.0	0.0	0.0	293657.0	
8642.0	663.0	31080.0	359615.0	1.2286230754177988e-07	94744.0	0.0	0.0	296794.0		77220.0	0.0	0.0	310037.0	
8639.0	646.0	15121.0	375594.0	1.5310381351820782e-07	82992.0	0.0	0.0	312773.0		67620.0	0.0	0.0	326015.0	
8335.0	307.0	8511.0	382847.0	9.064101878249658e-06	77653.0	0.0	0.0	319945.0		63298.0	0.0	0.0	333151.0	
8330.0	309.0	2191.0	389170.0	1.6437428462941542e-07	73061.0	0.0	0.0	326267.0		59506.0	0.0	0.0	339472.0	
8226.0	109.0	1101.0	390564.0	3.356584304479295e-05	72052.0	0.0	0.0	327638.0		58686.0	0.0	0.0	340825.0	
8030.0	300.0	1008.0	390662.0	6.177232204629465e-07	71987.0	0.0	0.0	327674.0		58621.0	0.0	0.0	340840.0	
8028.0	198.0	1079.0	390695.0	1.2006171171982399e-05	71964.0	0.0	0.0	327707.0		58601.0	0.0	0.0	340872.0	
7964.0	66.0	1255.0	390715.0	1.961015806187605e-05	71949.0	0.0	0.0	327705.0		58590.0	0.0	0.0	340865.0	
