H1N1	H3N2	B
16	0	0
32	0	0
35	0	0
60	0	0
81	0	0
139	0	0
236	0	0
407	0	0
453	0	0
504	0	0
741	0	0
943	0	0
1122	0	0
1403	0	0
1999	0	0
2647	0	0
3985	0	0
4030	0	0
7565	0	0
9049	0	0
16052	0	0
18558	0	0
20330	0	0
39758	0	0
43939	0	0
76957	0	0
100497	0	0
114969	0	0
146623	0	0
147186	0	0
200574	0	0
180989	0	0
186933	0	0
187475	0	0
163656	0	0
148110	0	0
125754	0	0
122423	0	0
68457	0	0
72932	0	0
63298	0	0
30472	0	0
29064	0	0
28745	0	0
12414	0	0
12885	0	0
11051	0	0
5936	0	0
4062	0	0
3363	0	0
