H1N1	H3N2	B
1	0	0
2	0	0
6	0	0
4	0	0
3	0	0
3	0	0
2	0	0
15	0	0
1	0	0
31	0	0
43	0	0
66	0	0
66	0	0
177	0	0
83	0	0
183	0	0
100	0	0
341	0	0
39	0	0
336	0	0
631	0	0
375	0	0
920	0	0
1327	0	0
1830	0	0
1469	0	0
3529	0	0
1147	0	0
4126	0	0
1044	0	0
5248	0	0
1191	0	0
7572	0	0
3633	0	0
4140	0	0
4308	0	0
948	0	0
1876	0	0
2232	0	0
113	0	0
132	0	0
81	0	0
367	0	0
9	0	0
75	0	0
498	0	0
30	0	0
18	0	0
4	0	0
2	0	0
