S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
311985.0	5.0	10.0	88000.0	3.205282305239034e-06	296000.0	0.0	0.0	103997.0		240000.0	0.0	0.0	159995.0	
311964.0	26.0	10.0	88000.0	0.0	296000.0	0.0	0.0	103988.0		240000.0	0.0	0.0	159990.0	
311956.0	29.0	15.0	88000.0	1.068526758047075e-06	296000.0	0.0	0.0	103985.0		240000.0	0.0	0.0	159986.0	
311919.0	45.0	36.0	88000.0	1.8701436377179118e-06	296000.0	0.0	0.0	103973.0		240000.0	0.0	0.0	159966.0	
311910.0	46.0	44.0	88000.0	5.829187323849245e-07	296000.0	0.0	0.0	103970.0		240000.0	0.0	0.0	159962.0	
311853.0	66.0	81.0	88000.0	1.4647610363113073e-06	296000.0	0.0	0.0	103952.0		240000.0	0.0	0.0	159939.0	
311809.0	101.0	80.0	88010.0	3.6079779608670695e-07	295993.0	0.0	0.0	103951.0		239994.0	0.0	0.0	159935.0	
311625.0	228.0	137.0	88010.0	1.3351252119072087e-06	295993.0	0.0	0.0	103900.0		239994.0	0.0	0.0	159868.0	
311616.0	193.0	176.0	88015.0	8.02269459848018e-07	295988.0	0.0	0.0	103901.0		239990.0	0.0	0.0	159869.0	
311499.0	126.0	339.0	88036.0	1.7424545868748604e-06	295976.0	0.0	0.0	103896.0		239974.0	0.0	0.0	159842.0	
311074.0	542.0	340.0	88044.0	8.509418413398136e-08	295971.0	0.0	0.0	103786.0		239970.0	0.0	0.0	159681.0	
310947.0	552.0	420.0	88081.0	8.958807403558438e-07	295946.0	0.0	0.0	103789.0		239953.0	0.0	0.0	159659.0	
310628.0	446.0	836.0	88090.0	1.6365981358461788e-06	295940.0	0.0	0.0	103720.0		239948.0	0.0	0.0	159542.0	
310402.0	545.0	906.0	88147.0	4.515969627821377e-07	295901.0	0.0	0.0	103717.0		239914.0	0.0	0.0	159514.0	
309394.0	1234.0	1181.0	88191.0	8.730294582525989e-07	295868.0	0.0	0.0	103488.0		239884.0	0.0	0.0	159157.0	
309099.0	1303.0	1223.0	88375.0	5.978391917169687e-07	295735.0	0.0	0.0	103605.0		239767.0	0.0	0.0	159210.0	
306249.0	3145.0	2222.0	88384.0	1.4812958231258016e-06	295730.0	0.0	0.0	102846.0		239762.0	0.0	0.0	158088.0	
306180.0	2919.0	2400.0	88501.0	4.014523047444858e-07	295639.0	0.0	0.0	102944.0		239693.0	0.0	0.0	158171.0	
299123.0	7126.0	4825.0	88926.0	1.974684578349153e-06	295332.0	0.0	0.0	101478.0		239437.0	0.0	0.0	155729.0	
298325.0	7855.0	4767.0	89053.0	4.8519273516698565e-08	295239.0	0.0	0.0	101383.0		239369.0	0.0	0.0	155548.0	
291223.0	7900.0	11505.0	89372.0	2.1062398387899486e-06	294998.0	0.0	0.0	99838.0		239176.0	0.0	0.0	153024.0	
285712.0	12613.0	12077.0	89598.0	2.3126789303459083e-07	294832.0	0.0	0.0	98610.0		239035.0	0.0	0.0	151042.0	
285184.0	6039.0	18171.0	90606.0	1.370492563811554e-06	294097.0	0.0	0.0	99470.0		238428.0	0.0	0.0	151846.0	
273790.0	11922.0	23387.0	90901.0	8.606732667307367e-07	293869.0	0.0	0.0	96820.0		238264.0	0.0	0.0	147578.0	
269629.0	15555.0	21065.0	93751.0	9.296208550058055e-08	291787.0	0.0	0.0	98621.0		236545.0	0.0	0.0	148779.0	
232207.0	41583.0	32390.0	93820.0	1.5149209079458417e-06	291737.0	0.0	0.0	89060.0		236510.0	0.0	0.0	134038.0	
231354.0	38275.0	29494.0	100877.0	6.097994484715271e-07	286571.0	0.0	0.0	95890.0		232320.0	0.0	0.0	140738.0	
173581.0	58626.0	66118.0	101675.0	3.260656880154818e-06	285995.0	0.0	0.0	81890.0		231830.0	0.0	0.0	118376.0	
172051.0	59303.0	59869.0	108777.0	8.281134260909538e-08	280757.0	0.0	0.0	88591.0		227571.0	0.0	0.0	124868.0	
140037.0	33544.0	112131.0	114288.0	3.6792256668940526e-06	276700.0	0.0	0.0	85639.0		224268.0	0.0	0.0	117602.0	
131415.0	40636.0	113133.0	114816.0	1.0290990748214684e-07	276320.0	0.0	0.0	83925.0		223944.0	0.0	0.0	114652.0	
106768.0	33269.0	133753.0	126210.0	2.2417919293314716e-06	267871.0	0.0	0.0	88815.0		217113.0	0.0	0.0	116145.0	
102508.0	28907.0	138214.0	130371.0	6.085527403021483e-07	264759.0	0.0	0.0	91888.0		214601.0	0.0	0.0	118609.0	
